Esiliiga, 10th
Ligue Nationale du Football Amateur, Group Centre, 12th
Série G, 8th
Liga 1, 13th of 18
Overall: 26th
Serie B, 7th
Northern League, 10th of 12
CPD, 3rd of 16
National 2 Group A, 15th
Liga IV, Mureș County, 3rd
R2 Group D, 1st
Serbian SuperLiga, 9th of 16
Austrian Bundesliga, 2nd of 12
Liga IV, Bucharest, 1st
Russian Premier League, 16th
Third Division, 4th of 32
Azadegan League, 6th
Littoral League, 1st
CFA 2: Group D, 4th
Thai League 3, third place of the national championship
Division 4 Göteborg B, 12th
2010 Canada Cup (floorball)
Slovenian Second League, 3rd of 16
Regional Preferente – Group 1, 1st 10
Eccellenza Toscana, 16th
Berlin-Liga , 1st of 18
Division Honor, 15th
Gamma Ethniki, 11th
Liga IV, Bacău County
Division 3 Södra Svealand, 5th
Liga Alef South, 16th
Segona Catalana group 2, 8th
Playoffs:None
TT Pro League, 11th
Iraqi Premier League, 16th of 20
Paranaense, 8th of 12
Ligue Nationale du Football Amateur, Group West, 4th
Liga 2, 11th
National First Division, 5th
Série A, 11th of 20
ODT FootballSouth Premier League, 1st
Paraibano, 5th
Serie D/D, 8th
Premiers
National 2 Group A, 4th
Macedonian First League, 8th
Division 2 Västra Götaland, 4th
Western Conference: 9th
Série D, 22th of 68
Amapazão, 4th of 10
Eerste Divisie, 17th of 20
Ukrainian First League, 1st of 16
Danish 1st Division, 3rd
Belgian First Division A, 10th
Runners-up
Philippines Football League, 5th of 6
NTPSA Division 1A, 1st
Veikkausliiga, 7th
North West Counties League Division One, 15th
Lancashire Combination Division 2, withdrew
Hérault Group B: 3rd
Women's National Championship, 6th
Conference South, 16th
Derde Divisie, 2nd
HKPL, 3rd of 8
Ligue Haïtienne, 7th
, Zone West, 17th
Primeira Liga, 17th of 18
Serie D/E, 1st
Division 3 Mellersta Götaland, 5th
Paulistão A3, 2nd of 16
Nadeshiko League Div.2, 6th of 10
Slovenian Third League, 7th
Playoffs: Lost in semi-finals
Jordanian Pro League, 6th of 12
NRFL Division 2, 8th of 10
Torneo Federal A Zone B,15th
Montenegrin Second League, 1st
* 3. deild karla, 1st
*  2. deild kvenna, 9th
III liga, group I, 17th of 19
Central Federation League, 1st of 8
División de Plata, 9th
Segunda División, 22nd of 22
Primera División, 14th of 16
Group A, 3rd
Donald Gray Memorial Cup, 4th of 5
Quarterfinals
Sremska Mitrovica City League, 2nd of 8
Serie D/B, 11th
Ukrainian Second League, 10th of 12
Liga F, 6th
Kazakhstan Premier League, 1st of 14
Tajikistan Higher League, 2nd of 10
Superettan, 8th
Denmark Series Group 2, 9th
Division 3 Sydvästra Götaland, 4th
Second Division Group C, 8th
Nadeshiko League Div.1, 2nd of 12
Egyptian Premier League, 16th
Bahraini Premier League, 9th
Erovnuli Liga, 7th
Current
National 2 Group C, 13th
Gabon Championnat National Division 2
Maltese Challenge League, Group A, 9th
NB III, West, 9th
MNL Lendava, 7th
Postseason: Runners-up
Premier League 5th of 13
Conference National, 13th
Ykkönen, 5th
Second Division, 8th
M: Liga ASOBAL, 2nd
Paraense, 5th of 12
Gamma Ethniki, 3rd
Serie D/I, 15th
no participant
Primera División, 1st of 16
Eccellenza Trentino-Alto Adige/Südtirol, 1st
Druga HNLŽ - group A, 1st
Swiss Super League, 10th of 10
Regular Season: 11thPlayoffs: DNQ
Minority Whip
Moroccan Women's Championship, 1st of 14
Eliteserien, 6th of 16
División de Honor – Group 2, 3rd of 19
Thai League 3, 10th of 13 in the Southern region
Promozione Sardinia A, 5th
Thai League 3, 12th of 12 in the Eastern region
NAFL Division 1B, 12th
1st team manager = Derek Holden
2nd team manager = Rodney Morrow
Division Uno, 7th, Group B
Serie D/D, 20th
Men: 5. divisjon Trøndelag avd. 2 , 3rd
Premier League 2 Division 2, 5th of 12
Group 8, 20th
Primera División, 17th
Division 2 Östra Götaland, 3rd
Paulista A2, 10th of 16
Eredivisie, 6th of 18
Esiliiga, 9th
Slovenian PrvaLiga, 10th of 10
Premier Division, 22nd
Promozione Lombardia, 13th
Liga I, 4th
Brasiliense, 6th
Division: 1st
Primera B, 13th of 16
Liga I, 13th of 16
Spring: 8th
Sul-Mato-Grossense, 3rd of 12
Division 4 Västmanland, 10th
Liga I, 5th of 16
Super League, 11th of 16
Sul-Mato-Grossense, 3rd of 10
South-West Third League, 12th
IV liga Lesser Poland, 5th
Playoffs: Conference Semifinals
Liga I, 1st of 16
Ukrainian First League, 2nd of 16
Rondoniense, 8th of 8
Regionalliga Nordost, 11th of 20
Campeonato Carioca Segunda Divisão, Group C, 9th
Schleswig-Holstein-Liga , 16th
League One, 24th of 24
Division 2 Norra Götaland, 1st
Preferente La Mancha – Group 2, 1st
Serie D Group A, 5th
NB I, 6th of 12
Northwest Conference: 2nd
Russian Premier League, 4th of 16
Liga 3, Semi-finals
National 3 Group E, 3rd
División de Honor B – Group A, 3rd
North-West Third League, 7th
Belgian First Division A, 18th of 18
Ukrainian First League, 11th of 16
Segunda División, 3rd of 22
PeopleCare District League, 10th of 14
Pomurska League, 9th
Second League, 14th of 16
Premiership & Championship
Allsvenskan, 16th
Relegated to Primera D
Group A, 8th place
Primera Nacional Zone A, 11th
División Intermedia, 16th of 18
Local Championship of Laconia, 6th
Ethiopian Premier League 12th of 16
Liga 3, 4th in Group A
Relegation Groups, Serie E, 5th
Men: 5th
did not play
Withdrawn then Regulated
Seconda Categoria Under 21/A Lombardy/G , 2nd
Playoffs: did not qualify
UAE Pro League, 1st
Division 6 Medelpad, 7th
Taiwan Football Premier League, 6th of 8
Ligue 2, Group Centre-east, 7th
Liga 3, 16th
Ukrainian Premier League, 6th of 16
Kategoria e Dytë
Eerste Divisie, 5th of 20
Primera Nacional Zone A, 9th
Torneo Descentralizado 15th
Serie D/Girone B, 19th
Autonómica Navarra, 3rd
Serbian First League, 11th of 16
Serbian League Belgrade, 6th of 16
Paulistão 2ª Divisão, 35th of 36
Eredivisie, 7th of 18
Serie D/C, 4th
Preferente, 1st
Premier League, 4th of 14
Ligue Professionnelle 1, 11th
Division 4 Jämtland/Härjedalen, 1st
Promozione Sicily/A, 4th
PLSQ-Female, 1st
Eerste Klasse Sunday A, 1st
Serie D, 2nd
OFS Bitola First Division, 9th
Leinster League Division 1A, 8th of 8
Serie A (futsal)
Azadegan League Group 2, 13th
Malaysia Premier LeagueGroup A,3rd
Lega Pro Seconda Divisione A, 8th
Ligue 2 - Zone East, 1st,  Promoted
Principality Premiership, 1st
Super League Greece 2, 7th
Gibraltar Premier Division, 5th of 10
A RFG Pernik, 1st
Eerste Divisie, 12th of 20
Paraibano, 1st of 10
Swiss Challenge League, 5th of 10
Second League , 1st
Regular Season: 3rdPlayoffs: Champions
Latvian League 2 Vidzeme District
Campeonato de Portugal , 4th
Czech League: 5th
Eastern Conference: 8th
London and South East Women's Regional Football League, 3rd of 11
Belgrade First League – Group A, 11th of 14
Majority Whip
Division 3 Norra Svealand, 4th
South-East Third League, 8th
Third League – East, 4th
La Liga, 13th of 20
NSSL Eastlink Premier Men, 2nd
Swiss Super League, 3rd of 10
Serie A, 11th of 12
Ykkönen, 3rd
Amapazão, 7th of 8
Macedonian Third League , withdraw
Eliminated in Quarterfinals
Slovenian PrvaLiga, 8th of 10
TFF Third League, Group 3, 16th
Cymru Alliance, 6th
AF Aveiro First Division, 2nd
Liga VI, Timiș County, Seria III, 7th
Swiss Super League, 5th of 10
Regional Preferente de Cádiz, 9th
(Preferente Autonómica – Group Norte), 8th
Overall: Champions
Azadegan League, 15th
Austrian Bundesliga, 7th
Liga Naţională, 9th
Kent Invicta Football League 17th
I Lyga 6th
Combined: 8th
Régionale 1, Hauts-de-France = 10th
Ligue Nationale du Football Amateur, Group West, 13th
Prva HNL, 7th
Spartan South Midlands League Division One, 18th of 21
Third Division, 3rd of 32
Premier League 3rd of 16
SWPL 2, 2nd
Syrian League 1st Division 1st
FNL, 20th
Toppserien, 1st
Malaysia Premier League, 4th of 11
Serie B, 10th
Hessenliga , 7th
II liga, 10th of 18
Playoffs: Canceled
Playoffs: Quarterfinals
2012
2010
Sunday Derde Divisie, 9th
Ballymena & Provincial Football League, 2nd
Birinci Lig, 14th
División Intermedia, 5th of 18
Division 4 Södermanland, 1st
Iraqi Premier League, 2nd of 20
2004
Ukrainian Futsal Championship, 8th
Serie D/I, 17th
Seconda Categoria group A, 12th
La Liga, 19th of 20
Alagoano, 6th of 8
Division 2 Östra Götaland, 1st
Women: 4th
2021
Liga Nacional, 4th
Liga IV, Hunedoara County, 8th
Eccellenza Piedmont and Aosta Valley, Group B 15th
Overall: 1st
Meore Liga, 11th
2019
Regionalliga Bayern, 8th of 20
2017
2014
National 3 Group I, 5th
Liga Superior, 5th
Elite One 3rd of 18
PFL Subotica, 1st
Serie D/A, 8th
Premier League, 10/13
Women's Premier League BH, 2nd
Russian Women's Football Championship, 3rd
Malaysia FAM League , 9th
Série C, 9th of 20
Overall table: 16th
NIFL Championship, 4th
Third League , 1st
Thai League 1
Group stage, 6th
National 3 Group A, 3rd
Campeonato de Portugal – Serie A, 10th of 11
Finalist of Torneo Reducido
Third Division/ 6, 4th
Gloucestershire County League Division One, 2nd of 16
Montenegrin First League, 6th
Allsvenskan, 7th
Divizia A, 3rd
Maltese Premier League, 10th
Russian Premier League, 3rd of 16
Premier League BH, 7th
Segunda Andaluza, 10th
Eccellenza Trentino-Alto Aldige, 1st
Ligue 2, 2nd of 12
Ligue 2, Group Centre-west, 8th
Intercommunal League, 2nd
Liga Portugal 2, 5th of 18
Primeira Liga, 16th of 18
Denmark Series – Group 1, 5th of 10
Podunavlje-Šumadija Zone League, 7th of 16
Seria I, 10th
División de Honor,  /
North-East Third League, 9th
Danish Superliga, 10th
Toppserien, 8th of 10
Playoffs: Winners
Treća HNL South, 9th
Liga Națională, 6th of 14
Promotion series Serie 1, 4th
Promozione Abruzzo, 4th
Playoffs: National Final
Second League of RS , 4th
Primera División, 6th of 16
Kuwaiti Division One, 1st of 5
Amazonense 4th of 12
Eliminated in National Stage
First League of RS, 7th
Regional Preferente, 11th
Paulistão, 13th of 16
Tercera de Aficionados, 9th
Ligue Professionnelle 1, 5th
Two Men's teams, One Women's and juniors
Armenian First League, 2nd
Malaysia FAM League, 7th
Série B, 8th of 20
Postseason: Cancelled
Meistriliiga, 10th
Group B, 7th
Ukrainian Premier League, 1st of 16
Terceira Divisão Série F, 2nd
Liga 2, 7th
Liga ASOBAL, 12th
Canadian Premier League, 8th
Second League, 7th
Primera B, 15th
Primeira Liga, 10th of 18
Paraense, 11th
Amateur Football League
Zealand Series Group 1, 2nd
Série D, 29th of 68
Elite AF Evora, 1st
NAFL Premier Division, 3rd
FootballSouth Premier League, 4th of 10
Slovenian Second League, 11th of 16
Eccellenza Apulia, 1st
FNL, 9th
South-East Third League, 10th
Divizia Națională, 4th of 10
Macedonian First League, 11th
Liga IV, Tulcea County, 2nd
Série D, 56th
WRU Division Two West
Serie D/D, 17th
Serie C/A, 18th
TFF 3rd League, Champion
Playoffs: West Region Champions, National Semifinalist
Kuwaiti Premier League, 6th of 10
Zone League South, 14th of 14
Second League of FBiH, 6th
Russian First Division, 22nd
Third Division, 5th of 32
North-East Third League, 14th
NRF Division 5, 1st of 9
League, 19th; Playoffs, DNQ
Promozione group B, 4th
Qatar Stars League, 8th of 12
National 2 Group D, 2nd
Russian Futsal Super League
NB III, Centre,10th
Division One, 12th
Position 11/13
Playoffs: Final
Combined Counties League
Serbian League West, 3rd of 16
Druga HNL, 14th of 14
Upper Carniolan League, 7th
Landesliga Bayern-Mitte , 1st
Northern League, 8th of 12
Kategoria Superiore, 9th
Persian Gulf Pro League, 8th
Eliteserien, 14th of 16
Handball-Bundesliga, 18th
Superettan, 15th
División de Plata, 1st – promoted
Central League, 10th of 10
Liga Portugal 2, 2nd
Winners in I Lyga
Second League, 7th of 16
Serbian SuperLiga, 10th
I-League, 11th of 13
FNL2, Group 1, 9th
Azadegan League Group 2, 8th
Overall table: 4th
Liga de Balompié Mexicano, 3rd of 8
Liga Riojana de Fútbol Femenino, —
Eliteserien, 7th of 16
Bezirksoberliga Oberfranken , 10th
Eccellenza Sicily B, 6th
Regular season, 3rd
ongoing
Unknown
Liga 2/1st round (Group B), 4th
Eliminated in Round of 32
Primera B, 12th of 16
dissolved
La Liga, 2nd of 20
Ligue 2, Group Centre-west, 11th
Regional G6, 11th
Betrideildin, 9th
Paraense 2nd Division, 3rd of 23
Segunda División Uruguay, withdrew
Persian Gulf Pro League, 9th
Meore Liga, 1st
Superettan, 14th
Esiliiga, winners
Primera Nacional Zone A, 12th
File: simple cup icon.svg Champion
Sul-Mato-Grossense Série B, 3rd of 3
Qatari Second Division, 2nd of 8
Second League , 9th
NIFL Premier Intermediate League, 3rd
Preferente, 12th
Maldives National Championship
--08-08
Dorset Premier Football League, 1st
(Primera Provincial de León), (16th – relegated)
Philippines Football League, 4th of 7
NB III,West,8th
Slovenian PrvaLiga, 9th of 10
Liga 3, eliminated in provinsial stage
Armenian Premier League, 2nd
Preference Baleares - Group 1, 2nd
Turkish Regional Amateur League-5th group
National 3 Group D, 13th
Série B, 4th of 20
Tercera Regional, 13th
Women's Premier League BH, 1st
Denmark Series – Group 1, 6th of 10
Fall: 2nd
Ykkönen, 11th
Division 1 Féminine 12th
Série A1, 9th
Regular phase: 10th
Super League Greece 2, 17th
Eccellenza Sicily/B, 1st
Serie D/D, 9th
Ballymena & Provincial Football League, 14th
Liga 2, 12th
Serbian First League, 16th of 16
OFL Kisela Voda, 9th
Série D, 40th of 64
Withdrew from league
Minority leader
Thai League 2, 8th
Jordanian Pro League, 1st of 12
Kenyan Premier League 1st, champions
Segunda División, 16th of 22
Playoffs: Conference Semi-finalist
Serbian League East, 1st
Ligue Professionnelle 1, 4th
Group Stage (B): 1st
Pernambucano, 1st
Overall: 25th
Eerste Divisie, 11th of 20
Kikinda - Žitište Municipal League, 5th
Relegation groups, Serie F, 2nd
Turkish Regional Amateur League, Group 10, 5th
Ukrainian Amateur League, Group 1, 8th
Nadeshiko League Div.1, 7th of 12
Eliteserien, 13th of 16
División Intermedia, 17th of 18
Liga de Elite, 2nd of 10
Paulistão A3, 6th of 16
Prima Categoria group B, 6th
Division 4 Västra Götaland, 2nd
A Regional Group, 1st
Overall: 12th
Qatar Stars League, 4th
Ligai Olii Tojikiston, 1st of 10
Promotion Group South, 6th
I liga, 16th of 18
Uzbekistan Super League, 9th of 14
Division One East,13th
Iraqi Premier League, 16th in Group A
Tercera División – Group 1, 20th
Premier League, 7th
Semi finalists
Premier League BH, 6th
Super League Greece, 5th of 14
Midland Football League, 4th
Segunda de Aficionados, 1st
Taiwan Second Division Football League
Divizia A1,
Gamma Ethniki, 10th
Serbian League Belgrade, 5th of 16
, Group B, 11th
Regular season: Canceled
Delhi Premier League, champions
Serie D/H, 2nd
Ljubljana Regional League, 12th
Nigeria Professional Football League, 20th of 20
Maltese Premier League, 12th of 12
NIFL Premiership, 4th of 12
MNZ Ljubljana League, 8th
Playoffs: League Semifinals
Serbian League Belgrade, 1st
UAE Pro League, 9th
NB III, West, 8th
Campeonato Mineiro Modulo III
Rugby-Bundesliga South/West, 4th
Lega Pro Seconda Divisione B, 9th
Vojvodina League South, 9th of 16
Round of 16,
Persian Gulf Pro League, 12th
SWPL2, 1st of 10
Big tent
Primera Divisió, 7th
Eerste Divisie, 16th of 20
Nationaldivisioun, 5th of 16
Eerste Divisie, 3rd of 20
Iraqi Premier League, 10th of 20
Belgrade Inter-Municipal League – Group A, 4th of 14
Prima Categoria Campania/G 10th
Swiss Challenge League, 3rd of 10
Division, 1st; Playoffs, Conference Finals
National 3 Group K, 9th
Regular season: 1st
Group A 9th place
Départemental 2 Occitanie,
North-East Third League, 1st
Segunda División, 11th of 22
Eccellenza Veneto, 2nd
Championnat de France, 3-rd
Championnat National, 15th of 18
ÖFB-Frauenliga, 1st
Tweede Klasse Zondag Noord, 8th
Senegal Premier League, 4th
BPL, 3rd of 12
C-League, 5th of 13
HKPL, 7th of 8
North-West Third League, 14th
División Intermedia, 13th 10px
Grupo Centro Occidente A, 3rd
Belgrade Zone League, 8th of 16
Derde Divisie , 8th
División de Plata, 8th
K3 League, 3rd
Rheinlandliga , 2nd
Gamma Ethniki, 4th
Group A, 2nd
North-East Third League, 1th
Welsh National League Division 1, 10th
Third Division/ 9, 8th
Preseason
Nigeria Professional Football League, 17th of 20
Regional Preferente, 19th
Copa Simón Bolívar, runner up
Semifinalist
SDL, 2nd of 28
Iraqi Premier League, 15th of 20
Promotion League,
Sussex County League Division Two, 10th
III Liiga N, 4th
Premier League 4th of 16
Série A, 10th of 20
Round of 12,
Mid Sussex League Premier Division, 2nd of 14
Liga ASOBAL, 2nd
CPD, 9th of 16
Régional 1 Normandy, Group A, 1st
Thai League 3, 3rd of 11 in the Western region
54000.0
BPL, 1st of 12
Belgrade Zone League, 2nd of 16
First League of FBiH, 10th
Liga I, 3rd
Clwyd East Football League, resigned after 20 games
First League, 3rd of 14
Liga IV, Teleorman County, 1st
Paulistão 2ª Divisão, 31st of 35
Liga 2/1st round (East region), 7th
Mid-Ulster Football League Intermediate B, 1st
Azadegan League Group 1, 6th
FNL, 1st
Division 1 Norra, 11th
Premier League 2 Division 1, 2nd of 14
CPD, 4th of 16
II liga, 14th of 18
Liga I, Seria Vest, 8th
División de Honor – Group 1, 5th of 20
Regionalliga Bayern, 20th
Serie D/G, 12th
Primera División, 16th
Regular season: 1st, Pacific-North Playoffs: West Regional semifinal
Ligue Nationale du Football Amateur, Group East, 9th
Paranaense, 3rd
Kenyan Premier League, 6th of 18
League One, 3rd of 18
Pro League, 14th of 16
National 3 Group E, 4th
Bhutan Premier League, 6th of 10
Série C, 3rd of 20
Segunda División, 10th
Tercera Regional
First League of FBiH, 5th
Premier League, 5/13
Denmark Series Group 2, 8th
Spring: 7th
Ligue Professionnelle 1, 10th
(Regional Preferente – Group 4),  /
South-West Third League, 13th
Segunda División, 9th
PLSQ-Male, 3rd
Iraqi Premier League, 4th of 20
Second Division, 5th
Did not qualify to playoff
Serie D/F, 6th
WK League, 4th
Iraq Division One, 9th of 24
Syrian Premier League 14th
Denmark Series Group 1, 1st
First League of FBiH, 12th
Super League Greece 2, 6th
Regional Preferente, Group 2, 11th
Division Two 1st of 11
Season void
Group B 3rd,
Iraqi Premier League, 14th of 20
National Premier League, Regular season: 11th
Persian Gulf Pro League, 1st
Bayernliga Nord, 18th of 18
Nemzeti Bajnokság I, 12th
Eerste Divisie, 1st of 20
EFL Youth Alliance North West, 5th of 14
Second League, 4th
Úrvalsdeild kvenna, 7th of 10
Mongolian National Premier League, 8th of 10
Third Division, 6th of 32
Campeonato Nacional II Divisão, 2nd
Belarusian Premier League, 16th
Arthurian League
PLSQ-Female, 12th
Men: 4th
NB I, 12th of 12
Thai League 3, 2nd of 13 in the Northeastern region
Ukrainian Premier League, 12th
Serie D/C, 3rd
Russian Premier League, 1st of 16
Primera División, 13th of 16
21.0
Grupo
Thai League 3, 11th of 11 in the Western region
National 2 Group B, 16th
Segunda División , 3rd
Tercera División A  Champion
Iraqi Premier League, 7th of 20
Iraqi Premier League, 11th of 20
Liga IV, Suceava County, 4th
Kategoria e Parë, Group A, 8th
Round of 16 National
II Liiga N/E, 4th
Belgian First Division A, 4th
Division 4 Västerbotten Norra, 2nd
Regular phase: 7th
II Liiga South/West, 12th
K3 League, 12th
Mato-Grossense, 2nd of 10
Division 2 NorraGötaland, 13th
Southern League (football)
Super League Greece, 10th
Ligue Professionnelle 1, 12th
Circuito Nacional de Futebol de Praia, 1st
Amazonense, 5th of 12
Super League 2, 5th
Swiss Challenge League, 1st of 10
Liga I, 4th of 16
Spring: 2nd
Egyptian Premier League, 13th
Second League of FBiH, 5th
Paraibano, 2nd of 10
Thai League 2, 11th
Primera Divisió, 5th
Paulistão, 9th of 16
Division 2 Södra Svealand, 4th of 14
Play-Off Semifinal
Withdrawn
Fortuna Liga, 7th
IV liga Mazovia I, 1st of 16
Western Football League
Second Amateur Division, 10th
V.League 1, 3rd of 13
Botola 2, 10th of 16
Primera División, 3rd of 16
NAFL Division 1B, 1st
Carioca B1, 3rd
Division 5 Göteborg B, 3rd
Isthmian League Premier Division, 15th of 24
Preferente Group 2, 1st
Maltese Challenge League, Group A, 7th
Primera Nacional Zone B, 8th
Kreisliga Schwaben-Ost , 1st
Swiss Super League, 1st of 10
Azadegan League, 14th
A PFG, 15th /relegated/
División Intermedia, 12th of 18
Rugby-Bundesliga South/West, 2nd
Division 4 Norrbotten Norra, 7th
Segunda División Pro, 1st
Serbian League West, 12th
Alagoano 2ª Divisão, 2nd of 7
Liga IV, Constanța County, 5th
Erovnuli Liga, 9th of 10
Eliteserien, 8th of 16
Jordan League, 1st of 5
Central League, 2nd of 10
División de Honor, Gr. 3, 3rd
First League of RS, 2nd
Segunda División, champions
Allsvenskan, 6th
Gaúcho, 6th of 12
Thai League 3, 11th of 12 in the Northern region
Leiria Division of Honor, 1st
LNH Division 1, 3rd of 16
Maltese Challenge League, Group B, 1st
Tercera División - Group XVII, 10th of 12
in progress
Campeonato Gaúcho, Group 1, 5th
Paranaense 2ª Divisão, 1st
Podunavlje-Šumadija Zone League, 6th of 16
Divizia Națională, 8th of 11
NRF Division 3, 9th of 10
Pro League, 4th of 16
Preferente, 2nd
Conference North, 20th
QatarGas League, 9th
Série D, 35th
Nepal Super League, 7th of 7
Preferente Autonómica, 18th
TFF Third League, Group 1, 9th
DH Centre-Ouest, 9th
CFA 2 Group F, 5th
Second Division/ 2, 13th
Derde Klasse
League
Regional Preferente – Group 3, 10th
Austrian Football Second League, 8th
Eerste Divisie, 13th of 20
Catarinense, 11th of 12
National Division, 14th
Spartan South Midlands Football League
Liga IV, Mureș County, 1st
Liga I, 15th of 16
II Liiga North-East, 9th
Vrouwen Eredivisie, 8th
Primera División C/B, 4th
NOFV-Oberliga Nord, 4th of 19
Thai League 3, 14th of 14 in the Bangkok metropolitan region
First Division, 10th
Beton liga, 1st of 16
Liga 2, 6th
Croatian Premier League,
Ýokary Liga, 3rd of 8
CN, 19th
Primera División, (14th – relegated)
Campionato Nazionale Primavera , 9th
Eccellenza Emilia-Romagna/A, 1st
Regular Season: 6th, WesternPlayoffs: did not qualify
Kazakhstan Premier League, 12th of 12
Second League – East, 8th
Conference Chair
NOFV-Oberliga Nord, 3rd of 19
Paulistão 2ª Divisão, 25th of 36
Macedonian First League, 10th
Série A, 13th of 20
NB I, 8th of 12
Swiss Challenge League, 9th of 10
Série D, 3rd of 64
Paranaense, 12th
Ligue Nationale du Football Amateur, Group West, 12th
Second League , 2nd
Championnat National, 18th of 18
Division 3 Södra Svealand, 3rd
División de Honor, Gr. 2, 5th
Second League of FBiH , 1st
Division 6 Skåne Nordvästra A, 12th
National Amateur League, Group B, 8th
Division 6 Skåne Västra, 11th
Pernambucano, 3rd of 10
Série C, 4th of 20
División Intermedia, 18th of 18
Serie D/C, 15th
Relegated to FKF Division One League
Kreisliga A Bonn , 1st
Ligue Nationale du Football Amateur, Group West, 7th
Division 1 Södra, 5th
Série C, 10th of 20
Primera División, 16th of 16
Regional Preferente, 7th
Littoral League, 11th
Nemzeti Bajnokság I/B , 1st
División Intermedia, 9th of 18
UAE Pro League, 4th
Derde Divisie Sunday, 9th of 18
NB III, West, 14th
North Wales Coast League Division 1
Paulistão A2, 6th of 16
Goiano, 3rd of 12
National Group C, 15th
Liga 1, 1st of 18
Treća HNL East, 1st
Speaker of the North Carolina House of Representatives
Rugby-Bundesliga North/East, 1st
Belgrade Inter-Municipal League – Group B, 8th of 13
Challenge Cup: Quarter-finals
Russian Women's Football Championship, 6th
Primera de Aficionados, -
Campeonato Goiano, 8th
Division 2 Östra Götaland, 13th
Slovenian PrvaLiga, 7th of 10
A OFG, 1st /promoted/
Round of 24 Group N,
Serie D/B, 17th
Thai League 3, 10th of 12 in the Eastern region
Serie D/D, 18th
Eerste Divisie, 9th of 20
Overall: 2nd
Primera Regional – Group A, 2nd of 17
Campeonato Pernambucano Série A2, 2nd
Eccellenza Molise, 9th
Overall: 28th
Lebanese Women's Football League, 3rd of 8
The Central League 4th of 6
Slovenian Second League, 1st of 16
Eccellenza Sicily/B, 6th
Semifinals,
Eccellenza Trentino-Alto Adige, 2nd
Overall: 15th
Overall table: 3rd
Group B 10rd place
Série D, 14th of 68
Qatari Second Division, 4th of 8
Liga 1, 5th of 18
Maltese Premier League, 5th
Cymru North
PLSQ-Male, 10th
NB III, Centre, 12th
Belgian Second Division, 8th
Second League of RS, 2nd
Primera División, 11th
Primera B, 15th of 16
Chinese Jia League, 10th
Premier League, 4th
NB II, 15th of 20
Håndboldligaen, 2nd of 15
A RFG Haskovo, 1st
Nemzeti Bajnokság I, 5th
WE League, 2nd of 11
Paraense, 3rd of 12
División de Honor B – Group C, 6th
Segunda División, 1st of 22
Segunda División, 5th of 22
Final phase: Winners
Super League Greece 2, 16th
Scottish First Division, 2nd
Liga Nacional, 1st of 14
Liga Nacional, Gr. 14, 1st
Iraqi Premier League, 20th of 20
Elitettan, 1st
Montenegrin First League, 1st
Iraq Division One, 19th of 24
Austrian Bundesliga, 10th
Regular Season: 3rd,South Conference: 8th,
Second League , 10th
Regular Season: 3rd, AtlanticPlayoffs: did not qualify
Thai League 3, 5th of 12 in the Eastern region
Western Conference: 13th
Pro D2, 15th
Playoffs: Conference Quarterfinals
National 3 Group I, 12th
Hoofdklasse Saturday A, 11th
Série B, 17th of 20
Cambridgeshire County League Premier Division, 4th of 15
Ligue 2, Group Centre-west, 10th
K League 2, 6th of 11
Division 3 Mellersta Götaland, 7th
Group B, 6th place
Premier League 2nd of 13
South-West Third League, 3rd
Superettan, 13th
Primera Nacional Zone A, 13th
Belgian Division 2 ACFF, 2nd of 16
Division 7 Stockholm D, 3rd
Division 1 Norra, 14th
Division 4 Småland Elit Västra, 1st
Promozione Piedmont and Aosta, 1st
North-West Third League, 1st
Kakkonen Group C, 2nd
Central League, 6th of 10
West Attica FCA, 1st
Paulistão 2ª Divisão, 15th of 36
Vojvodina League North, 3rd of 18
Carioca, 8th
Singapore Premier League, 7th of 8
Bahraini Premier League, 2nd of 10
National 3 Group D, 2nd
Burundi Premier League, 14th
Fall: 10th
Division 3 Norra Norrland, 12th
Principality Premiership, 6th
Armenian First League, 4th of 10
Gaúcho, 2nd of 12
Kozani FCA, 1st
Serie A 11th
Capital 2, 6th of 10
Serie B, 3rd of 14
Division Uno, 4th, Group A
TT Pro League, 4th
Serie B, 3rd of 10
Tercera Andaluza
Regular phase: 11th
Ballymena & Provincial Football League, 15th
Belgian Second Division, 18th
Playoffs: Northeast Conference Finals
Final Four: DNQ
Segunda División, 19th of 22
FNL, 16th
Mineiro, 1st of 12
United Counties League
Premier League, 8/13
Uzbekistan Super League, 3rd of 14
Premier Division, 9th
Hoofdklasse Saturday A, 1st
CPD, 14th of 16
Group A 4th
, retired
Série D, 46th of 64
Liga Naţională, 1st of 14
League One, 16th of 18
K League 2, 10th of 11
Tercera A, 1st
Ukrainian Premier League, 7th of 16
Premier Division, 15th
Playoffs: Regional Semi-Final
Série A1, 4th
III Liiga E, 4th
Premier League 13th of 13
Kreisliga Berlin A – Staffel 2 , 2nd
Denmark Series – Group 2, 2nd of 10
Esiliiga, 7th
Serie A, 4th of 12
Dodecanese FCA Championship, 1st
Mato-Grossense, 3rd of 10
Gamma Ethniki, 13th
Pomurska League, 10th
Division 1, 1st
Paulistão 2ª Divisão, 5th of 36
Liga Gimel Tel Aviv, 2nd
Regular phase: 1st, Group I
Lost JRCL play-offs
Segunda División, 21st of 22
Macedonian First League, 2nd
Segunda División, 8th
2021–22 Liga 3 (Portugal)
South-East Third League, 2nd
NRFL Division 2, 2nd of 10
Philippines Football League, 7th of 7
